reading_id,city_id,recorded_at,temperature_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,cloudiness_pct,visibility_m,weather_main,weather_description,validation_flag
67,3,2026-06-11 14:42:44+00:00,23.27,23.35,23.27,23.27,65.0,1013.0,3.0,145,79,10000,Clouds,broken clouds,
68,4,2026-06-11 14:42:45+00:00,24.76,25.09,24.76,24.76,69.0,1017.0,4.0,146,38,10000,Clouds,scattered clouds,
69,1,2026-06-11 18:18:59+00:00,16.0,15.98,16.0,16.0,89.0,1019.0,2.04,82,58,10000,Clouds,broken clouds,
70,2,2026-06-11 18:19:00+00:00,24.64,25.27,24.64,24.64,81.0,1017.0,5.87,176,32,10000,Clouds,scattered clouds,
71,3,2026-06-11 18:19:01+00:00,19.47,19.69,19.47,19.47,85.0,1014.0,0.25,168,57,10000,Clouds,broken clouds,
72,4,2026-06-11 18:19:02+00:00,22.88,23.21,22.88,22.88,76.0,1018.0,2.78,163,78,10000,Clouds,broken clouds,
73,1,2026-06-11 21:25:15+00:00,15.56,15.57,15.56,15.56,92.0,1020.0,2.67,48,100,10000,Clouds,overcast clouds,
74,2,2026-06-11 21:25:16+00:00,24.21,24.88,24.21,24.21,84.0,1017.0,5.48,173,38,10000,Rain,light rain,
75,3,2026-06-11 21:25:17+00:00,18.61,18.8,18.61,18.61,87.0,1015.0,0.42,260,64,10000,Clouds,broken clouds,
76,4,2026-06-11 21:25:18+00:00,21.83,22.21,21.83,21.83,82.0,1017.0,2.4,186,98,10000,Clouds,overcast clouds,
77,1,2026-06-11 23:39:02+00:00,15.54,15.6,15.54,15.54,94.0,1018.0,2.5,53,100,10000,Clouds,overcast clouds,
78,2,2026-06-11 23:40:17+00:00,21.55,22.22,21.55,21.55,94.0,1016.0,2.16,205,25,10000,Clouds,scattered clouds,
79,3,2026-06-11 23:40:19+00:00,17.84,17.9,17.84,17.84,85.0,1013.0,1.72,184,44,10000,Clouds,scattered clouds,
80,4,2026-06-11 23:40:20+00:00,19.94,20.47,19.94,19.94,95.0,1016.0,2.18,196,95,10000,Clouds,overcast clouds,
81,1,2026-06-12 04:25:33+00:00,15.14,15.22,15.14,15.14,96.0,1019.0,2.06,70,100,10000,Clouds,overcast clouds,
82,2,2026-06-12 04:25:35+00:00,23.74,24.34,23.74,23.74,83.0,1018.0,4.55,185,75,10000,Rain,light rain,
83,3,2026-06-12 04:25:36+00:00,17.23,17.36,17.23,17.23,90.0,1015.0,0.34,326,58,10000,Clouds,broken clouds,
84,4,2026-06-12 04:25:38+00:00,20.57,21.11,20.57,20.57,93.0,1018.0,2.98,215,91,10000,Clouds,overcast clouds,
85,1,2026-06-12 09:00:22+00:00,18.71,18.54,18.71,18.71,73.0,1019.0,2.65,101,98,10000,Clouds,overcast clouds,
86,2,2026-06-12 09:02:32+00:00,27.84,29.54,27.84,27.84,63.0,1017.0,7.5,178,67,10000,Clouds,broken clouds,
87,3,2026-06-12 09:02:33+00:00,28.45,28.31,28.45,28.45,43.0,1014.0,3.22,182,100,10000,Clouds,overcast clouds,
88,4,2026-06-12 09:02:34+00:00,28.44,29.51,28.44,28.44,55.0,1018.0,5.49,183,100,10000,Clouds,overcast clouds,
89,1,2026-06-12 12:57:27+00:00,20.68,20.42,20.68,20.68,62.0,1016.0,2.29,102,100,10000,Clouds,overcast clouds,
90,2,2026-06-12 12:57:29+00:00,26.91,28.55,26.91,26.91,68.0,1016.0,8.35,179,98,10000,Clouds,overcast clouds,
91,3,2026-06-12 12:54:53+00:00,27.35,27.49,27.35,27.35,46.0,1011.0,3.53,170,98,10000,Clouds,overcast clouds,
92,4,2026-06-12 12:56:21+00:00,27.63,28.82,27.63,27.63,59.0,1016.0,5.01,156,98,10000,Clouds,overcast clouds,
93,1,2026-06-12 16:26:11+00:00,17.29,17.27,17.29,17.29,84.0,1019.0,2.45,120,99,10000,Rain,light rain,
94,2,2026-06-12 16:26:12+00:00,25.28,25.87,25.28,25.28,77.0,1017.0,7.32,180,74,10000,Clouds,broken clouds,
95,3,2026-06-12 16:26:14+00:00,22.62,22.66,22.62,22.62,66.0,1013.0,2.33,156,96,10000,Clouds,overcast clouds,
96,4,2026-06-12 16:26:15+00:00,24.09,24.51,24.09,24.09,75.0,1018.0,3.67,153,87,10000,Clouds,overcast clouds,
97,1,2026-06-12 19:09:42+00:00,16.85,16.91,16.85,16.85,89.0,1019.0,1.95,67,98,10000,Rain,light rain,
98,2,2026-06-12 19:09:43+00:00,25.44,26.05,25.44,25.44,77.0,1018.0,6.84,170,26,10000,Clouds,scattered clouds,
99,3,2026-06-12 19:09:44+00:00,19.8,19.98,19.8,19.8,82.0,1015.0,1.5,183,90,10000,Clouds,overcast clouds,
100,4,2026-06-12 19:09:45+00:00,22.79,23.32,22.79,22.79,84.0,1019.0,2.68,172,33,10000,Clouds,scattered clouds,
101,1,2026-06-12 21:52:27+00:00,15.4,15.45,15.4,15.4,94.0,1019.0,2.95,78,100,9937,Rain,light rain,
102,2,2026-06-12 21:52:28+00:00,24.59,25.25,24.59,24.59,82.0,1017.0,6.46,170,20,10000,Clouds,few clouds,
103,3,2026-06-12 21:52:29+00:00,19.53,19.71,19.53,19.53,83.0,1014.0,1.15,202,56,10000,Clouds,broken clouds,
104,4,2026-06-12 21:52:30+00:00,22.35,22.91,22.35,22.35,87.0,1018.0,2.76,166,27,10000,Clouds,scattered clouds,
105,1,2026-06-12 23:18:59+00:00,15.15,15.2,15.15,15.15,95.0,1019.0,2.32,72,100,10000,Rain,light rain,
106,2,2026-06-12 23:19:00+00:00,24.51,25.16,24.51,24.51,82.0,1016.0,6.72,172,21,10000,Clouds,few clouds,
107,3,2026-06-12 23:19:01+00:00,19.0,19.18,19.0,19.0,85.0,1013.0,0.72,188,59,10000,Clouds,broken clouds,
108,4,2026-06-12 23:19:01+00:00,22.17,22.77,22.17,22.17,89.0,1017.0,2.74,167,34,10000,Clouds,scattered clouds,
109,1,2026-06-13 04:14:16+00:00,14.77,14.76,14.77,14.77,94.0,1020.0,1.6,37,98,10000,Clouds,overcast clouds,
110,2,2026-06-13 04:13:33+00:00,23.96,24.6,23.96,23.96,84.0,1018.0,5.22,180,71,10000,Rain,light rain,
111,3,2026-06-13 04:14:19+00:00,19.97,20.03,19.97,19.97,77.0,1015.0,0.44,170,91,10000,Clouds,overcast clouds,
112,4,2026-06-13 04:14:20+00:00,21.27,21.8,21.27,21.27,90.0,1019.0,2.66,197,97,10000,Clouds,overcast clouds,
113,1,2026-06-13 08:25:01+00:00,18.07,17.94,18.07,18.07,77.0,1020.0,1.52,133,99,10000,Clouds,overcast clouds,
114,2,2026-06-13 08:25:02+00:00,26.48,26.48,26.48,26.48,73.0,1019.0,7.34,168,64,10000,Rain,light rain,
115,3,2026-06-13 08:25:04+00:00,28.5,28.28,28.5,28.5,42.0,1014.0,2.21,156,94,10000,Clouds,overcast clouds,
116,4,2026-06-13 08:18:09+00:00,28.44,29.51,28.44,28.44,55.0,1020.0,5.18,165,43,10000,Clouds,scattered clouds,
117,1,2026-06-13 11:19:26+00:00,20.29,20.12,20.29,20.29,67.0,1017.0,3.41,133,90,10000,Rain,light rain,
118,2,2026-06-13 11:19:27+00:00,27.04,28.92,27.04,27.04,70.0,1017.0,7.74,165,64,10000,Rain,light rain,
119,3,2026-06-13 11:19:01+00:00,27.13,27.35,27.13,27.13,47.0,1012.0,4.55,167,97,10000,Clouds,overcast clouds,
120,4,2026-06-13 11:19:30+00:00,29.5,29.93,29.5,29.5,47.0,1017.0,5.64,161,67,10000,Clouds,broken clouds,
121,1,2026-06-13 14:10:04+00:00,17.88,17.81,17.88,17.88,80.0,1018.0,2.7,96,96,10000,Clouds,overcast clouds,
122,2,2026-06-13 14:10:05+00:00,26.58,26.58,26.58,26.58,69.0,1017.0,7.04,168,79,10000,Clouds,broken clouds,
123,3,2026-06-13 14:10:07+00:00,23.55,23.63,23.55,23.55,64.0,1012.0,3.87,172,82,10000,Clouds,broken clouds,
124,4,2026-06-13 14:10:08+00:00,27.01,28.09,27.01,27.01,60.0,1017.0,5.21,152,100,10000,Clouds,overcast clouds,
125,1,2026-06-13 16:17:55+00:00,16.89,16.8,16.89,16.89,83.0,1019.0,2.19,103,87,10000,Clouds,overcast clouds,
126,2,2026-06-13 16:17:56+00:00,24.47,25.09,24.47,24.47,81.0,1018.0,5.96,166,72,10000,Rain,light rain,
127,3,2026-06-13 16:17:58+00:00,21.24,21.38,21.24,21.24,75.0,1014.0,1.42,194,75,10000,Clouds,broken clouds,
128,4,2026-06-13 16:17:59+00:00,23.96,24.37,23.96,23.96,75.0,1019.0,3.72,163,100,10000,Clouds,overcast clouds,
129,1,2026-06-13 18:10:13+00:00,16.2,16.15,16.2,16.2,87.0,1021.0,3.13,75,88,10000,Clouds,overcast clouds,
130,2,2026-06-13 18:12:57+00:00,21.85,22.55,21.85,21.85,94.0,1020.0,2.29,178,50,10000,Rain,light rain,
131,3,2026-06-13 18:12:58+00:00,19.84,19.97,19.84,19.84,80.0,1015.0,1.62,189,81,10000,Clouds,broken clouds,
132,4,2026-06-13 18:12:59+00:00,21.24,21.74,21.24,21.24,89.0,1020.0,3.46,148,100,10000,Clouds,overcast clouds,
133,1,2026-06-13 20:19:05+00:00,15.4,15.37,15.4,15.4,91.0,1022.0,2.42,66,99,10000,Clouds,overcast clouds,
134,2,2026-06-13 20:19:39+00:00,24.08,24.71,24.08,24.08,83.0,1019.0,5.39,174,69,10000,Clouds,broken clouds,
135,3,2026-06-13 20:11:50+00:00,19.3,19.5,19.3,19.3,85.0,1016.0,1.13,166,87,10000,Clouds,overcast clouds,
136,4,2026-06-13 20:19:02+00:00,22.05,22.45,22.05,22.05,82.0,1020.0,2.52,172,100,10000,Clouds,overcast clouds,
137,1,2026-06-13 22:08:57+00:00,14.45,14.41,14.45,14.45,94.0,1021.0,1.92,104,93,10000,Clouds,overcast clouds,
138,2,2026-06-13 22:08:58+00:00,23.7,24.35,23.7,23.7,85.0,1018.0,5.14,182,50,10000,Rain,light rain,
139,3,2026-06-13 22:09:00+00:00,19.29,19.49,19.29,19.29,85.0,1015.0,1.46,173,90,10000,Clouds,overcast clouds,
140,4,2026-06-13 22:09:01+00:00,21.76,22.16,21.76,21.76,83.0,1019.0,2.6,174,100,10000,Clouds,overcast clouds,
141,1,2026-06-14 00:12:47+00:00,14.43,14.36,14.43,14.43,93.0,1020.0,1.26,123,94,10000,Clouds,overcast clouds,
142,2,2026-06-14 00:12:49+00:00,23.37,23.98,23.37,23.37,85.0,1018.0,4.71,180,43,10000,Rain,light rain,
143,3,2026-06-14 00:12:50+00:00,19.32,19.5,19.32,19.32,84.0,1014.0,1.49,142,92,10000,Clouds,overcast clouds,
144,4,2026-06-14 00:12:52+00:00,21.61,22.07,21.61,21.61,86.0,1018.0,2.52,177,79,10000,Clouds,broken clouds,
145,1,2026-06-14 05:54:25+00:00,16.09,15.84,16.09,16.09,80.0,1022.0,1.93,124,90,10000,Clouds,overcast clouds,
146,2,2026-06-14 05:54:26+00:00,25.8,26.39,25.8,25.8,75.0,1020.0,6.9,180,63,10000,Clouds,broken clouds,
147,3,2026-06-14 05:49:24+00:00,24.94,25.03,24.94,24.94,59.0,1015.0,1.72,164,68,10000,Clouds,broken clouds,
148,4,2026-06-14 05:49:09+00:00,25.23,25.69,25.23,25.23,72.0,1021.0,3.44,165,42,10000,Clouds,scattered clouds,
149,1,2026-06-14 09:42:01+00:00,20.99,20.55,20.99,20.99,54.0,1018.0,3.13,111,96,10000,Clouds,overcast clouds,
150,2,2026-06-14 09:43:28+00:00,28.12,29.75,28.12,28.12,61.0,1018.0,7.71,175,22,10000,Clouds,few clouds,
151,3,2026-06-14 09:43:30+00:00,26.79,27.11,26.79,26.79,48.0,1014.0,3.95,175,100,10000,Clouds,overcast clouds,
152,4,2026-06-14 09:43:31+00:00,29.62,30.22,29.62,29.62,48.0,1018.0,5.41,155,60,10000,Clouds,broken clouds,
153,1,2026-06-14 12:01:36+00:00,20.83,20.46,20.83,20.83,57.0,1017.0,4.34,120,97,10000,Clouds,overcast clouds,
154,2,2026-06-14 12:01:37+00:00,27.73,29.16,27.73,27.73,61.0,1016.0,7.74,174,16,10000,Clouds,few clouds,
155,3,2026-06-14 12:01:39+00:00,27.51,27.63,27.51,27.51,46.0,1012.0,4.33,177,100,10000,Clouds,overcast clouds,
156,4,2026-06-14 12:01:40+00:00,29.05,29.72,29.05,29.05,50.0,1017.0,5.66,152,60,10000,Clouds,broken clouds,
157,1,2026-06-14 15:09:22+00:00,18.19,17.92,18.19,18.19,71.0,1018.0,3.56,120,94,10000,Clouds,overcast clouds,
158,2,2026-06-14 15:09:23+00:00,25.56,26.03,25.56,25.56,71.0,1017.0,7.0,170,20,10000,Clouds,few clouds,
159,3,2026-06-14 15:09:24+00:00,24.27,24.32,24.27,24.27,60.0,1012.0,3.67,181,100,10000,Clouds,overcast clouds,
160,4,2026-06-14 15:09:25+00:00,25.29,25.65,25.29,25.29,68.0,1018.0,4.4,150,100,10000,Clouds,overcast clouds,
161,1,2026-06-14 17:15:02+00:00,16.79,16.54,16.79,16.79,77.0,1020.0,2.58,86,96,10000,Clouds,overcast clouds,
162,2,2026-06-14 17:24:01+00:00,24.52,24.99,24.52,24.52,75.0,1018.0,6.7,175,14,10000,Clouds,few clouds,
163,3,2026-06-14 17:24:03+00:00,20.14,20.3,20.14,20.14,80.0,1014.0,1.59,198,86,10000,Clouds,overcast clouds,
164,4,2026-06-14 17:24:04+00:00,23.19,23.58,23.19,23.19,77.0,1019.0,3.29,149,92,10000,Clouds,overcast clouds,
165,1,2026-06-14 19:43:10+00:00,14.27,14.08,14.27,14.27,89.0,1021.0,1.57,80,53,10000,Clouds,broken clouds,
166,2,2026-06-14 19:43:11+00:00,24.33,24.75,24.33,24.33,74.0,1019.0,6.57,181,75,10000,Clouds,broken clouds,
167,3,2026-06-14 19:43:12+00:00,19.98,20.07,19.98,19.98,78.0,1014.0,1.04,174,96,10000,Clouds,overcast clouds,
168,4,2026-06-14 19:43:13+00:00,22.02,22.44,22.02,22.02,83.0,1019.0,2.28,161,23,10000,Clouds,few clouds,
169,1,2026-06-14 21:13:49+00:00,14.25,14.03,14.25,14.25,88.0,1020.0,1.58,81,56,10000,Clouds,broken clouds,
170,2,2026-06-14 21:18:20+00:00,24.19,24.6,24.19,24.19,74.0,1018.0,6.61,185,79,10000,Clouds,broken clouds,
171,3,2026-06-14 21:18:21+00:00,20.54,20.61,20.54,20.54,75.0,1014.0,0.48,84,97,10000,Clouds,overcast clouds,
172,4,2026-06-14 21:18:23+00:00,21.76,22.16,21.76,21.76,83.0,1019.0,2.36,156,20,10000,Clouds,few clouds,
173,1,2026-06-14 23:12:53+00:00,13.16,12.93,13.16,13.16,92.0,1020.0,1.08,34,63,10000,Clouds,broken clouds,
174,2,2026-06-14 23:12:55+00:00,23.87,24.3,23.87,23.87,76.0,1016.0,6.81,189,77,10000,Clouds,broken clouds,
175,3,2026-06-14 23:12:56+00:00,20.98,21.01,20.98,20.98,72.0,1013.0,1.1,153,98,10000,Clouds,overcast clouds,
176,4,2026-06-14 23:12:58+00:00,21.29,21.69,21.29,21.29,85.0,1018.0,2.5,181,23,10000,Clouds,few clouds,
177,1,2026-06-15 04:55:46+00:00,14.36,14.07,14.36,14.36,85.0,1022.0,1.44,97,97,10000,Clouds,overcast clouds,
178,2,2026-06-15 04:55:47+00:00,24.53,25.05,24.53,24.53,77.0,1019.0,6.07,206,36,10000,Clouds,scattered clouds,
179,3,2026-06-15 04:55:49+00:00,20.2,20.52,20.2,20.2,86.0,1016.0,1.07,112,74,10000,Clouds,broken clouds,
180,4,2026-06-15 04:55:50+00:00,22.9,23.31,22.9,22.9,79.0,1020.0,2.38,215,96,10000,Clouds,overcast clouds,
181,1,2026-06-15 10:58:10+00:00,22.89,22.17,22.89,22.89,36.0,1017.0,4.45,142,92,10000,Clouds,overcast clouds,
182,2,2026-06-15 10:58:11+00:00,27.56,29.11,27.56,27.56,63.0,1016.0,8.85,188,96,10000,Clouds,overcast clouds,
183,3,2026-06-15 10:58:12+00:00,28.49,28.27,28.49,28.49,42.0,1013.0,3.94,178,95,10000,Clouds,overcast clouds,
184,4,2026-06-15 10:58:14+00:00,30.05,30.38,30.05,30.05,45.0,1017.0,4.65,162,17,10000,Clouds,few clouds,
185,1,2026-06-15 16:15:02+00:00,16.68,15.76,16.68,16.68,52.0,1018.0,2.37,103,95,10000,Clouds,overcast clouds,
186,2,2026-06-15 16:18:59+00:00,25.51,26.07,25.51,25.51,75.0,1017.0,6.32,179,63,10000,Clouds,broken clouds,
187,3,2026-06-15 16:19:00+00:00,21.59,21.58,21.59,21.59,68.0,1013.0,2.52,162,80,10000,Clouds,broken clouds,
188,4,2026-06-15 16:19:00+00:00,23.85,24.09,23.85,23.85,69.0,1017.0,3.56,154,74,10000,Clouds,broken clouds,
189,1,2026-06-15 20:28:22+00:00,14.52,13.75,14.52,14.52,66.0,1021.0,2.28,66,64,10000,Clouds,broken clouds,
190,2,2026-06-15 20:28:23+00:00,24.47,24.98,24.47,24.47,77.0,1018.0,6.28,186,55,10000,Rain,light rain,
191,3,2026-06-15 20:28:24+00:00,17.97,18.02,17.97,17.97,84.0,1016.0,0.65,297,84,10000,Clouds,broken clouds,
192,4,2026-06-15 20:28:25+00:00,22.19,22.53,22.19,22.19,79.0,1019.0,2.67,175,40,10000,Clouds,scattered clouds,
193,1,2026-06-15 22:58:19+00:00,12.64,12.18,12.64,12.64,85.0,1021.0,2.07,41,57,10000,Clouds,broken clouds,
194,2,2026-06-15 23:05:29+00:00,24.19,24.81,24.19,24.19,82.0,1016.0,6.03,188,64,10000,Rain,light rain,
195,3,2026-06-15 23:05:31+00:00,17.44,17.43,17.44,17.44,84.0,1015.0,0.84,186,84,10000,Clouds,broken clouds,
196,4,2026-06-15 23:05:32+00:00,21.91,22.4,21.91,21.91,86.0,1017.0,2.45,185,47,10000,Clouds,scattered clouds,
197,1,2026-06-16 04:48:02+00:00,14.83,14.35,14.83,14.83,76.0,1023.0,0.9,21,39,10000,Clouds,scattered clouds,
198,2,2026-06-16 04:52:39+00:00,24.41,25.0,24.41,24.41,80.0,1019.0,6.16,208,94,10000,Rain,light rain,
199,3,2026-06-16 04:52:41+00:00,21.47,21.32,21.47,21.47,63.0,1017.0,1.91,129,80,10000,Clouds,broken clouds,
200,4,2026-06-16 04:52:43+00:00,22.24,22.87,22.24,22.24,90.0,1020.0,3.62,206,91,10000,Clouds,overcast clouds,
